"Resource Name","Alarm Text","Severity","Raised Time (System)","Acknowledged"
"Pulau Ratewo to Rep. Nabire System 3/Radio-6.1-XPIC.2","RFU hardware failure 1","CRITICAL","December 18, 2020 4:42:38 PM",N
"STO TJ.REDEP TO GN TABUR/Radio-5.1","Remote communication failure","CRITICAL","November 1, 2017 5:48:36 AM",Y
"BAGAN SIAPI API to SUKAJADI","LOST CONTACT","INDETERMINATE","October 11, 2020 4:15:58 AM",N
"LUWUK CITY TO KINTOM #1 / 8GHz / CH 6 VERTICAL / TX LOW/Radio-2","RFU Rx level path1 out of range","WARNING","September 21, 2021 12:17:10 PM",N
"01_KM46-BAWAN/Radio-2","RFU Rx level path1 out of range","WARNING","October 9, 2021 7:27:24 PM",N
"Site-14 2.14 B.BARATAN - SAJAU CH4-6 HIGH XPIC HORIZONTAL","LVDS RX Error Slot 5","MAJOR","March 18, 2020 1:24:52 PM",N
"ENTIKONG-TVRI/E1-1.16","E1/DS1 loss of signal on port #16","MAJOR","October 6, 2021 1:58:47 PM",N
"APAWER TO MARTEWAR System 1 Pol. Vertical","LOST CONTACT","INDETERMINATE","October 18, 2021 2:15:14 PM",N
"STO BIREUN TO SITE BUKIT RIMBA RAYA 8 GHz / Ch 6 High/Radio-2","RFU Rx level path1 out of range","WARNING","November 9, 2020 11:22:35 AM",N
"NUNUKAN TO SEIBATANG 8GHz/Radio-4.1","Cable open","MAJOR","July 11, 2019 3:44:19 PM",Y
"PLAJAN3 - KARIMUNJAWA FREK 8GHz / CH 6 HIGH ( EXPAN )","HTTP LOGON FAILURE","WARNING","December 2, 2020 7:34:41 PM",N
"PLAJAN TO KARIMUN NEW IP-20","LOST CONTACT","INDETERMINATE","October 20, 2021 10:31:04 PM",N
"06 HAJAK/Radio-3","Traffic not being sent through radio on slot 4 by multi-radio","WARNING","September 26, 2021 10:41:00 AM",N
"Sto Singkawang to Sto Pemangkat/ETY-3.7","Ethernet loss of carrier on port #7","MAJOR","October 15, 2018 8:36:29 PM",Y
"ASAM BARU TO HANAU / U6 GHz XPIC / CH. 7L / 2+0/Radio-3.1-XPIC.1","Radio loss of frame","CRITICAL","April 18, 2021 12:52:07 AM",N
"BEBATU - MAMBURUNGAN #1 8GHz CH 2 VERTICAL LOW/Shelf/Slot 1 - BEBATU - MAMBURUNGAN #1 8GHz CH 2 VERTICAL LOW/IDU","IDU #2 presence not detected","MINOR","October 24, 2021 7:33:31 PM",N
"AIMAS - MARIAT GUNUNG 1+0 NEW/Radio-3.1","RFU RX level path1 out of range","WARNING","December 11, 2020 5:24:39 PM",N
"4+0 KIMANG BULENG_MAUMERE","LOST CONTACT","INDETERMINATE","May 15, 2021 8:27:34 AM",N
"MARIAT GUNUNG - AIMAS 1+0 NEW","LOST CONTACT","INDETERMINATE","October 29, 2020 1:00:19 AM",N
"POMPALIA - KENDARI IP-10/Radio-1","Traffic not being taken from radio on slot 2 by multi-radio","WARNING","November 5, 2019 2:40:35 AM",Y
"SAMBUKU - MANULAI FREK. 6GHz 3+0 NEW ( LOW )/Radio-3.1","Remote communication failure","CRITICAL","June 30, 2021 9:55:17 AM",N
"TIDUNG PALA TO MALINAU/E1-5.13","E1/DS1 Unexpected signal on TDM-LIC TDM port","WARNING","October 6, 2021 7:43:34 PM",N
"MOKMER TO STO BIAK 8Ghz SYSTEM 1/Radio-6.1","RFU TX Mute","WARNING","May 14, 2021 3:02:13 PM",Y
"CAMPLONG TO STO KUPANG","LOST CONTACT","INDETERMINATE","November 18, 2018 10:35:18 AM",Y
"TSEL TALAWIA - TSEL SIAU 8 GHz/LOW/HORIZINTAL/Radio-3.1","RFU RX level path1 out of range","WARNING","August 21, 2021 11:48:39 AM",N
"02 TAMIANG LAYANG/Shelf/Slot 1 - Tamiang Layang - Ampah / Ch 6 Low / 8 GHz/IDU","TDM backplane LOF for slot #4","CRITICAL","June 28, 2021 11:49:35 AM",N
"05 TAMPARAK LAYUNG/Shelf/Slot 1 - Tamparak Layung - Hajak / Ch 2 High / 8 GHz/IDU","Communications lost with IDU #4","CRITICAL","September 28, 2021 1:34:36 PM",N
"MUARA PAHU TO MELAK/Radio-5.1","Remote communication failure","CRITICAL","September 18, 2021 12:35:52 PM",N
"TIDUNG PALA TO BEBATU SUPA/E1-2.8","Loss-of-frames alarm on TDM service","MAJOR","December 30, 2020 9:40:39 PM",N
"MANULAI - SAMBUKU FREK. 6GHz 3+0 NEW ( HIGH )/Radio-4.1","RFU RX level path2 out of range","WARNING","June 29, 2021 2:31:04 PM",N
"GUNUNG DAENG TO SEIBATANG 8GHz/E1-5.4","Loss Of Signal (LOS) on TDM-LIC TDM port","MAJOR","September 18, 2021 8:44:37 PM",N
"BONGGO TO ANUSPODENA (System 1)/Radio-3.1","RFU RX level path1 out of range","WARNING","March 19, 2020 5:59:27 AM",N
"TJ.BATU - PONGKAR 2+0 6GHZ ( 3+0 8GHZ )/Radio-3.1","Remote communication failure","CRITICAL","April 12, 2018 2:55:13 AM",Y
"NIMBOKRANG - REP. KAPTIAU SYSTEM 2/Radio-5.1","RFU RX level path1 out of range","WARNING","July 21, 2021 11:14:09 PM",N
"SEI BATANG TO GUNUNG DAENG 8GHz/1RU/Slot 5","Loss-of-frames alarm on TDM service","MAJOR","December 24, 2020 7:18:23 AM",N
"SAJAU TO BUKIT BARATAN/ETY-1.2","Loss of Carrier","MAJOR","October 28, 2018 9:58:08 AM",Y
"MAMBURUNGAN - BUKIT BARATAN","HTTP LOGON FAILURE","WARNING","April 17, 2021 9:11:31 PM",N
"KOTA BANGUN TO MUARA MUNTAI/Radio-4.1","Radio loss of frame","CRITICAL","September 14, 2021 4:13:34 AM",N
"DUNANGBILA TO OMTEL/E1-2.9","E1/DS1 Unexpected signal on TDM-LIC TDM port","WARNING","July 24, 2019 8:04:04 AM",Y
"STO-Pemangkat-Jawai(telkom)/Radio-4.1","RFU communication failure","WARNING","October 26, 2021 3:55:10 AM",N
"STO SELONG - STO MALUK U6GHz XPIC EXPAND ASURANSI/SYSTEM 1/Radio-5.1-XPIC.2","RFU TX level out of range","MINOR","October 27, 2021 8:14:32 AM",N
"MELAK - MUARA PAHU/Shelf/Slot 1 - Link Melak - Muara Pahu / 8 GHz / Ch. 7 / Tx Low/IDU","TDM backplane LOF for slot #3","CRITICAL","September 19, 2021 10:58:35 PM",N
"TIDUNG PALA TO BEBATU SUPA/E1-2.6","Loss-of-frames alarm on TDM service","MAJOR","December 30, 2020 9:40:39 PM",N
"GUNUNG TABUR TO LABANAN ( SYSTEM 2 )/Radio-6.1-XPIC.2","Remote communication failure","CRITICAL","October 19, 2021 1:17:05 AM",N
"REP. KAPTIAU TO NIMBOKRANG (System 1)","HTTP LOGON FAILURE","WARNING","May 8, 2020 12:28:35 PM",N
"03_SEPANG/Radio-3","Traffic not being sent through radio on slot 3 by multi-radio","WARNING","September 30, 2021 10:43:36 AM",N
"Site-6, 2.6 SEIMAYANG-MIAUBARU CH4-6 HIGH HORIZONTAL/2RU/Power Supply 2","Under voltage","MAJOR","November 7, 2018 8:11:06 AM",Y
"TIDUNG PALA TO BEBATU 8GHz CH1 HIGH VERTICAL/Radio-2","Cable short","MAJOR","October 26, 2021 4:10:11 AM",N
"Telkom Site Bundung (Backup Telkomsel Pebruari 2014)/ETY-2.1","Gigabit Ethernet loss of carrier on port #1","MAJOR","October 7, 2021 9:16:31 AM",N
"Arowi to Oransbari System 3 (4+0)/Radio-5.1-XPIC.2","Remote communication failure","CRITICAL","October 20, 2021 2:05:13 PM",N
"GN.TABUR TO LABANAN/Radio-3.1-XPIC.1","Remote communication failure","CRITICAL","June 4, 2020 2:18:34 AM",N
"PERDAU - SANGATA2 FREK.6G CH4-6 XPIC (HORIZONTAL)/Radio-3.1-XPIC.1","Radio loss of frame","CRITICAL","October 12, 2021 9:49:12 PM",N
"STO BANGKO TO REPEATER BANGKO 8GHZ CH 6 #1/Shelf/Slot 1 - STO BANGKO TO REPEATER BANGKO 8GHZ CH 8 #3/IDU","E1/DS1 unexpected signal on port #8","WARNING","October 29, 2019 10:14:45 AM",Y
"BKT SAMBUKU - BKT MANUALAI 2+0 8 GHz CH 6 LOW/Radio-3","Traffic not being sent through radio on slot 3 by multi-radio","WARNING","June 29, 2021 1:42:31 PM",N
"ANUSPODENA - NENGKE VILLAGE SYSTEM 2/Radio-5.1","RFU RX level path1 out of range","WARNING","July 8, 2021 9:59:47 AM",N
"TAYAN TO TAMIANG TABA 3+0 AGUSTUS 2019/Radio-5.1","Radio loss of frame","CRITICAL","September 14, 2021 3:48:27 AM",N
"BEBATU - MAMBURUNGAN #1 8GHz CH 2 VERTICAL LOW/Shelf/Slot 4 - Tamiang Taba to Tayan/IDU","Remote communication failure","MAJOR","August 2, 2021 11:43:33 PM",N
"MAMBURUNGAN TO BEBATU SUPA/E1-2.7","Loss-of-frames alarm on TDM service","MAJOR","November 30, 2020 6:48:23 PM",N
"BONGGO to REP. KAPTIAU (System 1)","HTTP LOGON FAILURE","WARNING","May 8, 2020 1:04:35 PM",N
"STO BIREUN TO SITE BUKIT RIMBA RAYA 8 GHz / Ch 6 High/E1-1.2","E1/DS1 loss of signal on port #2","MAJOR","September 4, 2020 2:03:54 AM",N
"BATANG TARANG TO TAMIANG TABA 1+0 AGUSTUS 2019","LOST CONTACT","INDETERMINATE","April 29, 2021 10:56:16 PM",N
"REP. RANSIKI TO PINTU BATU","LOST CONTACT","INDETERMINATE","September 23, 2018 1:57:21 PM",Y
"SUNGAI PAKNING to BENGKALIS","LOST CONTACT","INDETERMINATE","December 22, 2018 8:18:15 AM",Y
"REP.WAROPEN _ SERUI CITY/1RU/Slot 4","Corrupted inventory file","WARNING","February 10, 2021 10:39:07 AM",N
"MAMBURUNGAN TO BEBATU SUPA/E1-2.9","Loss Of Signal (LOS) on TDM-LIC TDM port","MAJOR","October 5, 2017 9:59:16 AM",Y
